Megadeth,Rust in Peace,1990,https://open.spotify.com/album/0qaLL09EtF1hiUis7PRvaJ,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/megadeth-rust-in-peace-1990-w487037,https://en.wikipedia.org/wiki/Rust_in_Peace,40:39:00,40,39
Anthrax,Among the Living,1987,https://open.spotify.com/album/4Y2jEzU70sLpTCMCl6JE0t,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/anthrax-among-the-living-1987-w486946,https://en.wikipedia.org/wiki/Among_the_Living,50:24:00,50,24
Metallica,�And Justice for All,1988,https://open.spotify.com/album/69oeRoYEpSsNPGVuYRxfoB,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/metallica-and-justice-for-all-1988-w487049,https://en.wikipedia.org/wiki/...And_Justice_for_All_(album),65:31:00,65,31
Motley Crue,Too Fast for Love,1981,https://open.spotify.com/album/6fhebW3x8DvrwbdL2aXCbo,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/mtley-cre-too-fast-for-love-1981-w487063,https://en.wikipedia.org/wiki/Too_Fast_for_Love,37:40:00,37,40
Danzig,Danzig,1988,https://open.spotify.com/album/3elIDlrTtrgKfbxYVgp3uW,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/danzig-1988-w486966,https://en.wikipedia.org/wiki/Danzig_(album),40:57:00,40,57
Rage Against the Machine,Rage Against the Machine,1992,https://open.spotify.com/album/4Io5vWtmV1rFj4yirKb4y4,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/rage-against-the-machine-1992-w487111,https://en.wikipedia.org/wiki/Rage_Against_the_Machine_(album),52:47:00,52,47
Metallica,Metallica,1991,https://open.spotify.com/album/37lWyRxkf3wQHCOlXM5WfX,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/metallica-1991-w487059,https://en.wikipedia.org/wiki/Metallica_(album),62:39:00,63,39
Alice in Chains,Dirt,1992,https://open.spotify.com/album/58NXIEYqmq5dQHg9nV9duM,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/alice-in-chains-dirt-1992-w486945,https://en.wikipedia.org/wiki/Dirt_(Alice_in_Chains_album),57:33:00,57,33
System of a Down,Toxicity,2001,https://open.spotify.com/album/6jWde94ln40epKIQCd8XUh,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/system-of-a-down-toxicity-2001-w487130,https://en.wikipedia.org/wiki/Toxicity_(album),41:48:00,41,48
Celtic Frost,Morbid Tales,1984,https://open.spotify.com/album/2G2c7jjmwDaJVLfJc47859,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/celtic-frost-morbid-tales-1984-w486963,https://en.wikipedia.org/wiki/Morbid_Tales,29:21:00,29,21
Sepultura,Chaos A.D.,1993,https://open.spotify.com/album/5r4qa5AIQUVypFRXQzjaiu,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/sepultura-chaos-ad-1993-w487118,https://en.wikipedia.org/wiki/Chaos_A.D.,47:09:00,47,9
Korn,Korn,1994,https://open.spotify.com/album/7D3XFJlfZIkmGWqZXm2X8z,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/korn-1994-w487014,https://en.wikipedia.org/wiki/Korn_(album),65:47:00,65,47
Slayer,Seasons in the Abyss,1990,https://open.spotify.com/album/416nVgqae48Dw0EjD6N4EU,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/slayer-seasons-in-the-abyss-1990-w487121,https://en.wikipedia.org/wiki/Seasons_in_the_Abyss,42:30:00,42,30
Black Sabbath,Sabotage,1975,https://open.spotify.com/album/0Plh7fxBmx1Z2HrnVOoGkw,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/black-sabbath-sabotage-1975-w486955,https://en.wikipedia.org/wiki/Sabotage_(Black_Sabbath_album),43:38:00,43,38
Megadeth,Countdown to Extinction,1992,https://open.spotify.com/album/1w9opfGdFtR3ulNHxnnO1e,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/megadeth-countdown-to-extinction-1992-w487033,https://en.wikipedia.org/wiki/Countdown_to_Extinction,48:27:00,48,27
Black Sabbath,Master of Reality,1971,https://open.spotify.com/album/7pGb2cOGVz6vLyaZaKOQ7D,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/black-sabbath-master-of-reality-1971-w487128,https://en.wikipedia.org/wiki/Master_of_Reality,34:24:00,34,24
Metallica,Kill 'Em All,1983,https://open.spotify.com/album/0vNBQof86Lv5gLuf26ML7o,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/metallica-kill-em-all-1983-w487051,https://en.wikipedia.org/wiki/Kill_%27Em_All,51:16:00,51,16
Van Halen,Women and Children First,1980,https://open.spotify.com/album/7fRy246Xzz3gez6stjTgKk,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/van-halen-women-and-children-first-1980-w487133,https://en.wikipedia.org/wiki/Women_and_Children_First,33:31:00,33,31
Black Sabbath,Heaven and Hell,1980,https://open.spotify.com/album/1Wk2g7TV0adbUZ53ruvIdL,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/black-sabbath-heaven-and-hell-1980-w486952,https://en.wikipedia.org/wiki/Heaven_and_Hell_(Black_Sabbath_album),40:04:00,40,4
Iron Maiden,Powerslave,1984,https://open.spotify.com/album/081qKmiSpL1orcddjYlSGE,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/iron-maiden-powerslave-1984-w487002?,https://en.wikipedia.org/wiki/Powerslave,50:33:00,50,33
Pantera,Far Beyond Driven,1994,https://open.spotify.com/album/773KEsh2eaBWjjj41aU1ca,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/pantera-far-beyond-driven-1994-w487081,https://en.wikipedia.org/wiki/Far_Beyond_Driven,56:23:00,56,23
Mayhem,De Mysteriis Dom Sathanas,1994,https://open.spotify.com/album/4O9K2VUsGve0wJl49AG0Mu,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/mayhem-de-mysteriis-dom-sathanas-1994-w487030,https://en.wikipedia.org/wiki/De_Mysteriis_Dom_Sathanas,46:01:00,46,1
Kyuss,Blues for the Red Sun,1992,https://open.spotify.com/album/7wXj8GxTkGAUU99DXR7n2f,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/kyuss-blues-for-the-red-sun-1992-w487016,https://en.wikipedia.org/wiki/Blues_for_the_Red_Sun,50:56:00,50,56
Diamond Head,Lightning to the Nations,1980,,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/diamond-head-lightning-to-the-nations-1980-w486973,https://en.wikipedia.org/wiki/Lightning_to_the_Nations,41:37:00,41,37
Judas Priest,Stained Class,1978,https://open.spotify.com/album/0v6FGuCgvRotTNL1KoX297,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/judas-priest-stained-class-1978-w487013,https://en.wikipedia.org/wiki/Stained_Class,43:25:00,43,25
Motley Crue,Shout at the Devil,1983,https://open.spotify.com/album/2BCI4Oj05SiqooWWBqUqjT,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/mtley-cre-shout-at-the-devil-1983-w486978,https://en.wikipedia.org/wiki/Shout_at_the_Devil,35:02:00,35,2
Exodus,Bonded by Blood,1985,https://open.spotify.com/album/1IfG1UITBGxTIIVZ3qgUrD,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/exodus-bonded-by-blood-1985-w486983,https://en.wikipedia.org/wiki/Bonded_by_Blood,40:31:00,40,31
Mastodon,Leviathan,2004,https://open.spotify.com/album/6khFoLWnJZDQvZ7Pijym3b,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/mastodon-leviathan-2004-w487029,https://en.wikipedia.org/wiki/Leviathan_(album),46:47:00,46,47
Slayer,South of Heaven,1988,https://open.spotify.com/album/09ghSsJ7jalI4jWtf7E08b,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/slayer-south-of-heaven-1988-w487123,https://en.wikipedia.org/wiki/South_of_Heaven,36:55:00,36,55
Rainbow,Rising,1976,https://open.spotify.com/album/3uIT4I4Dy7Pq1j0aSjzPW9,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/rainbow-rising-1976-w487115,https://en.wikipedia.org/wiki/Rising_(Rainbow_album),33:22:00,33,22
